model_name,n,sdsize,sddepth,att,maa,mintrap,source_SCC,SCC
indep_sources_n1,1,3,1,2,0,2,1,1
indep_sources_n2,2,9,2,4,0,4,2,2
indep_sources_n3,3,27,3,8,0,8,3,3
indep_sources_n4,4,81,4,16,0,16,4,4
indep_sources_n5,5,243,5,32,0,32,5,5
indep_sources_n6,6,729,6,64,0,64,6,6
indep_sources_n7,7,2187,7,128,0,128,7,7
indep_sources_n8,8,6561,8,256,0,256,8,8
indep_sources_n9,9,19683,9,512,0,512,9,9
indep_sources_n10,10,59049,10,1024,0,1024,10,10
indep_sources_n11,11,177147,11,2048,0,2048,11,11
indep_sources_n12,12,531441,12,4096,0,4096,12,12
indep_sources_n13,13,1594323,13,8192,0,8192,13,13
indep_sources_n14,14,4782969,14,16384,0,16384,14,14
indep_sources_n15,15,14348907,15,32768,0,32768,15,15
indep_sources_n16,16,43046721,16,65536,0,65536,16,16